Agegroup	Male	Female	TotalPersons	TotalShare(%)	Mper100F	
00-04	6,576,871	6,188,158	12,765,029	12.26	106.282
05-09	7,796,359	7,239,918	15,036,277	14.44	107.686
10-14	7,323,831	6,596,051	13,919,882	13.37	111.034
15-19	5,290,581	4,182,114	9,472,695	9.10	126.505
20-24	4,210,585	3,854,150	8,064,735	7.75	109.248
25-29	3,828,687	3,843,018	7,671,705	7.37	99.627
30-34	3,510,596	3,545,141	7,055,737	6.78	99.026
35-39	3,308,161	3,149,100	6,457,261	6.20	105.051
40-44	2,756,809	2,408,883	5,165,692	4.96	114.443
45-49	2,209,994	2,060,380	4,270,374	4.10	107.261
50-54	1,808,425	1,504,315	3,312,740	3.18	120.216
55-59	1,330,356	1,466,322	2,796,678	2.69	90.727
60-64	1,559,925	1,448,083	3,008,008	2.89	107.723
65-69	1,103,718	986,061	2,089,779	2.01	111.932
70-74	784,383	595,148	1,379,531	1.33	131.796
75-79	297,973	252,506	550,479	0.53	118.006
80-84	197,997	171,057	369,054	0.35	115.749
85-89	69,258	60,250	129,508	0.12	114.951
90-94	48,853	45,915	94,768	0.09	106.399
95-99	24,996	22,379	47,375	0.05	111.694
100+	19,490	19,153	38,643	0.04	101.760
Agenotstated	220,309	183,193	403,502	0.39	120.261
Total	54,278,157	49,821,295	104,099,452	108.946
