Agegroup	Male	Female	TotalPersons	TotalShare(%)	Mper100F	
00-04	1,247,534	1,205,558	2,453,092	7.34	103.482
05-09	1,303,190	1,251,922	2,555,112	7.65	104.095
10-14	1,438,917	1,383,853	2,822,770	8.45	103.979
15-19	1,328,299	1,282,253	2,610,552	7.81	103.591
20-24	1,298,826	1,366,983	2,665,809	7.98	95.014
25-29	1,203,978	1,400,114	2,604,092	7.80	85.991
30-34	1,128,217	1,327,284	2,455,501	7.35	85.002
35-39	1,161,819	1,417,854	2,579,673	7.72	81.942
40-44	1,117,424	1,295,074	2,412,498	7.22	86.283
45-49	1,105,598	1,242,932	2,348,530	7.03	88.951
50-54	931,191	996,954	1,928,145	5.77	93.404
55-59	861,527	880,881	1,742,408	5.22	97.803
60-64	685,136	729,535	1,414,671	4.23	93.914
65-69	459,232	542,902	1,002,134	3.00	84.588
70-74	326,562	406,810	733,372	2.20	80.274
75-79	208,317	293,050	501,367	1.50	71.086
80-84	118,544	183,899	302,443	0.91	64.461
85-89	59,903	104,352	164,255	0.49	57.405
90-94	17,967	34,963	52,930	0.16	51.389
95-99	5,746	11,044	16,790	0.05	52.028
100+ 	2,188	3,243	5,431	0.02	67.468
Agenotstated	17,297	17,189	34,486	0.10	100.628 	
Total	16,027,412	17,378,649	33,406,061	92.225
