Agegroup	Male	Female	TotalPersons	TotalShare(%)	Mper100F	
00-04	4,939,629	4,422,397	9,362,026	8.33	111.696
05-09	5,178,177	4,642,477	9,820,654	8.74	111.539
10-14	5,662,261	5,072,274	10,734,535	9.55	111.632
15-19	5,710,400	4,916,867	10,627,267	9.46	116.139
20-24	5,845,114	5,245,852	11,090,966	9.87	111.424
25-29	5,272,560	4,874,553	10,147,113	9.03	108.165
30-34	4,536,297	4,260,010	8,796,307	7.83	106.486
35-39	4,209,434	4,037,726	8,247,160	7.34	104.253
40-44	3,744,825	3,451,264	7,196,089	6.40	108.506
45-49	3,116,218	2,916,236	6,032,454	5.37	106.858
50-54	2,580,991	2,338,326	4,919,317	4.38	110.378
55-59	1,974,129	1,911,685	3,885,814	3.46	103.266
60-64	1,716,639	1,925,841	3,642,480	3.24	89.137
65-69	1,440,238	1,638,114	3,078,352	2.74	87.920
70-74	1,039,292	1,103,844	2,143,136	1.91	94.152
75-79	515,431	547,342	1,062,773	0.95	94.170
80-84	294,950	341,701	636,651	0.57	86.318
85-89	114,176	133,218	247,394	0.22	85.706
90-94	69,018	88,868	157,886	0.14	77.664
95-99	37,356	42,957	80,313	0.07	86.961
100+	26,609	31,341	57,950	0.05	84.902
Agenotstated	219,312	188,384	407,696	0.36	116.418
Total	58,243,056	54,131,277	112,374,333	107.596
